user_id,experiment_group,retained_after_experiment,total_sessions,converted_to_paid,monthly_revenue
4660,treatment,1,2,0,0
4661,control,1,2,0,0
4661,treatment,1,2,1,20
4662,control,1,2,1,20
4662,treatment,1,2,1,20
4663,control,0,1,0,0
4664,control,1,2,1,20
4664,treatment,1,2,0,0
4665,control,0,2,0,0
4665,treatment,1,3,0,0
4666,control,1,2,0,0
4666,treatment,1,2,1,20
4667,control,1,1,0,0
4667,treatment,1,2,1,20
4668,control,1,3,0,0
4668,treatment,1,1,1,20
4669,control,0,2,0,0
4669,treatment,1,2,0,0
4670,control,0,1,0,0
4670,treatment,1,2,1,20
4671,control,0,1,0,0
4672,control,1,3,0,0
4672,treatment,1,3,0,0
4673,control,0,1,0,0
4673,treatment,0,2,0,0
4674,control,1,2,1,20
4674,treatment,1,2,0,0
4675,control,1,3,0,0
4675,treatment,1,2,0,0
4676,control,1,3,0,0
4676,treatment,1,1,0,0
4677,control,0,1,0,0
4677,treatment,1,3,0,0
4678,control,0,1,0,0
4678,treatment,1,1,0,0
4679,treatment,1,1,0,0
4680,control,1,2,1,20
4680,treatment,1,2,1,20
4681,control,1,2,0,0
4681,treatment,0,2,0,0
4682,control,0,2,0,0
4682,treatment,1,3,0,0
4683,control,1,3,0,0
4683,treatment,1,2,1,20
4684,control,0,1,0,0
4684,treatment,0,1,0,0
4685,control,1,2,1,20
4685,treatment,0,1,0,0
4686,control,0,1,0,0
4686,treatment,1,1,0,0
4687,control,0,1,0,0
4687,treatment,0,1,0,0
4688,control,1,1,0,0
4689,control,1,3,1,20
4689,treatment,1,3,0,0
4690,control,0,1,0,0
4690,treatment,0,1,0,0
4691,control,1,2,0,0
4691,treatment,1,2,0,0
4692,control,0,3,0,0
4692,treatment,1,3,1,20
4693,control,1,2,0,0
4693,treatment,1,3,0,0
4694,control,1,1,0,0
4694,treatment,0,1,0,0
4695,treatment,1,1,0,0
4696,control,1,2,1,20
4696,treatment,1,2,1,20
4697,control,0,1,0,0
4697,treatment,0,2,0,0
4698,treatment,0,1,0,0
4699,control,0,1,0,0
4700,control,0,1,0,0
4700,treatment,1,1,0,0
4701,control,1,3,0,0
4701,treatment,1,2,1,20
4702,control,0,2,0,0
4702,treatment,1,1,0,0
4703,control,1,3,0,0
4704,control,1,1,0,0
4704,treatment,1,1,0,0
4705,control,1,1,0,0
4705,treatment,1,1,0,0
4706,control,1,1,0,0
4706,treatment,1,1,0,0
4707,control,0,1,0,0
4707,treatment,1,2,1,20
4708,control,0,1,0,0
4708,treatment,1,1,0,0
4709,control,0,2,0,0
4709,treatment,1,2,1,20
4710,control,0,2,0,0
4710,treatment,1,2,0,0
4711,control,1,3,1,20
4711,treatment,1,3,0,0
4712,control,0,2,0,0
4712,treatment,1,2,0,0
4713,control,1,1,0,0
4713,treatment,1,2,0,0
4714,control,0,1,0,0
4714,treatment,0,1,0,0
4715,control,0,1,0,0
4716,control,0,1,0,0
4716,treatment,1,2,0,0
4717,control,1,3,1,20
4717,treatment,1,2,0,0
4718,control,1,1,1,20
4718,treatment,1,2,0,0
4719,control,1,2,1,20
4719,treatment,0,1,0,0
4720,control,0,1,0,0
4720,treatment,1,1,1,20
4721,control,1,1,1,20
4721,treatment,1,1,0,0
4722,control,1,2,1,20
4722,treatment,1,2,0,0
4723,control,1,1,0,0
4723,treatment,0,1,0,0
4724,treatment,1,1,0,0
4725,control,1,1,0,0
4725,treatment,1,1,1,20
4726,control,1,1,0,0
4727,control,1,1,0,0
4727,treatment,1,2,1,20
4728,control,1,1,0,0
4728,treatment,1,1,0,0
4729,control,1,3,0,0
4729,treatment,1,1,0,0
4730,control,1,2,0,0
4730,treatment,1,1,0,0
4731,control,1,3,1,20
4731,treatment,1,2,0,0
4732,control,0,1,0,0
4732,treatment,1,1,0,0
4733,control,0,3,0,0
4733,treatment,1,1,0,0
4734,control,0,1,0,0
4734,treatment,1,2,0,0
4735,control,0,1,0,0
4735,treatment,1,1,0,0
4736,control,0,3,0,0
4736,treatment,1,2,0,0
4737,control,1,1,0,0
4737,treatment,1,1,1,20
4738,control,1,1,0,0
4738,treatment,1,1,0,0
4739,control,1,3,1,20
4739,treatment,1,3,1,20
4740,control,1,1,0,0
4740,treatment,1,2,0,0
4741,control,1,2,1,20
4741,treatment,1,1,0,0
4742,control,1,2,0,0
4742,treatment,1,3,0,0
4743,control,1,1,0,0
4744,treatment,1,1,0,0
4745,control,1,2,0,0
4745,treatment,1,2,0,0
4746,control,0,1,0,0
4746,treatment,1,3,0,0
4747,control,0,1,0,0
4747,treatment,1,3,0,0
4748,control,0,1,0,0
4748,treatment,0,2,0,0
4749,control,0,1,0,0
4749,treatment,0,2,0,0
4750,control,1,2,1,20
4750,treatment,1,3,0,0
4751,control,0,2,0,0
4751,treatment,1,3,1,20
4752,control,0,1,0,0
4753,control,1,1,0,0
4753,treatment,1,1,0,0
4754,control,1,3,0,0
4754,treatment,1,3,0,0
4755,control,0,2,0,0
4755,treatment,1,2,0,0
4756,control,1,3,1,20
4756,treatment,1,3,0,0
4757,control,1,3,0,0
4757,treatment,1,3,0,0
4758,control,1,2,0,0
4758,treatment,1,2,1,20
4759,control,1,2,1,20
4759,treatment,1,3,1,20
4760,control,0,1,0,0
4760,treatment,1,1,0,0
4761,control,1,2,0,0
4761,treatment,0,1,0,0
4762,control,1,3,0,0
4762,treatment,1,3,0,0
4763,control,0,2,0,0
4763,treatment,1,2,0,0
4764,control,0,1,0,0
4764,treatment,1,3,0,0
4765,control,1,2,0,0
4765,treatment,1,2,0,0
4766,control,0,2,0,0
4766,treatment,0,1,0,0
4767,control,0,1,0,0
4768,control,1,2,0,0
4768,treatment,1,2,0,0
4769,control,1,1,0,0
4769,treatment,1,2,1,20
4770,control,0,2,0,0
4770,treatment,1,3,0,0
4771,control,1,1,0,0
4772,control,1,1,0,0
4773,control,1,1,0,0
4773,treatment,0,1,0,0
4774,control,1,2,0,0
4774,treatment,1,1,0,0
4775,control,1,3,0,0
4775,treatment,1,2,0,0
4776,control,1,2,0,0
4776,treatment,1,2,1,20
4777,control,0,1,0,0
4777,treatment,1,1,0,0
4778,treatment,0,1,0,0
4779,control,1,3,0,0
4779,treatment,1,3,1,20
4780,treatment,1,2,0,0
4781,control,1,1,0,0
4781,treatment,1,2,1,20
4782,control,1,3,0,0
4782,treatment,1,2,0,0
4783,control,1,1,0,0
4783,treatment,1,2,1,20
4784,control,1,1,0,0
4784,treatment,1,1,0,0
4785,control,0,3,0,0
4785,treatment,1,3,0,0
4786,control,1,1,0,0
4786,treatment,1,1,0,0
4787,control,1,1,0,0
4787,treatment,1,2,0,0
4788,control,1,2,1,20
4788,treatment,1,2,0,0
4789,control,0,2,0,0
4789,treatment,0,1,0,0
4790,control,1,1,1,20
4790,treatment,1,2,0,0
4791,control,0,2,0,0
4791,treatment,1,2,0,0
4792,control,0,2,0,0
4792,treatment,1,3,0,0
4793,treatment,1,1,0,0
4794,control,0,1,0,0
4794,treatment,1,1,0,0
4795,control,0,1,0,0
4795,treatment,1,2,0,0
4796,control,1,1,0,0
4796,treatment,1,3,0,0
4797,control,0,3,0,0
4797,treatment,1,2,1,20
4798,control,0,2,0,0
4798,treatment,1,2,1,20
4799,control,1,2,0,0
4799,treatment,0,1,0,0
4800,control,1,1,0,0
4801,control,1,2,0,0
4801,treatment,1,2,0,0
4802,control,1,2,0,0
4802,treatment,1,2,1,20
4803,control,1,1,0,0
4803,treatment,1,1,1,20
4804,control,1,1,1,20
4804,treatment,1,2,0,0
4805,control,0,1,0,0
4805,treatment,1,1,0,0
4806,control,1,2,0,0
4806,treatment,1,2,0,0
4807,treatment,0,1,0,0
4808,control,1,2,0,0
4808,treatment,1,1,1,20
4809,control,0,2,0,0
4809,treatment,1,2,0,0
4810,control,1,2,1,20
4810,treatment,1,2,0,0
4811,control,0,3,0,0
4811,treatment,1,3,0,0
4812,treatment,1,1,0,0
4813,control,1,2,0,0
4813,treatment,1,2,0,0
4814,treatment,1,1,0,0
4815,control,1,3,1,20
4815,treatment,1,2,1,20
4816,control,1,1,0,0
4816,treatment,1,1,0,0
4817,control,0,2,0,0
4817,treatment,0,1,0,0
4818,control,1,2,0,0
4818,treatment,0,2,0,0
4819,control,0,2,0,0
4819,treatment,1,3,1,20
4820,treatment,1,2,0,0
4821,control,1,1,0,0
4821,treatment,0,1,0,0
4822,control,0,2,0,0
4822,treatment,1,2,1,20
4823,treatment,1,1,0,0
4824,control,0,1,0,0
4824,treatment,1,2,0,0
4825,control,0,2,0,0
4825,treatment,1,1,1,20
4826,treatment,1,2,0,0
4827,control,1,1,0,0
4827,treatment,1,2,0,0
4828,control,1,1,0,0
4828,treatment,1,1,1,20
4829,control,1,1,0,0
4829,treatment,1,1,0,0
4830,control,1,3,0,0
4830,treatment,1,3,0,0
4831,control,0,1,0,0
4831,treatment,1,1,0,0
4832,control,1,1,0,0
4832,treatment,1,1,0,0
4833,control,1,3,0,0
4833,treatment,1,3,1,20
4834,control,0,1,0,0
4834,treatment,1,3,1,20
4835,control,1,1,0,0
4835,treatment,1,1,0,0
4836,control,1,1,1,20
4836,treatment,1,1,0,0
4837,control,0,1,0,0
4838,control,0,1,0,0
4838,treatment,1,3,0,0
4839,treatment,0,1,0,0
4840,treatment,1,1,0,0
4841,control,0,3,0,0
4841,treatment,1,3,1,20
4842,control,0,3,0,0
4842,treatment,1,2,1,20
4843,control,0,1,0,0
4843,treatment,1,2,0,0
4844,control,1,2,1,20
4844,treatment,1,3,0,0
4845,control,1,2,0,0
4845,treatment,1,1,0,0
4846,control,0,1,0,0
4847,control,0,2,0,0
4847,treatment,1,2,0,0
4848,control,1,2,0,0
4848,treatment,1,3,0,0
4849,control,0,1,0,0
4849,treatment,1,1,0,0
4850,control,0,1,0,0
4850,treatment,0,1,0,0
4851,control,1,2,1,20
4851,treatment,1,2,1,20
4852,control,0,1,0,0
4852,treatment,1,2,0,0
4853,control,1,1,1,20
4853,treatment,1,2,1,20
4854,control,0,1,0,0
4854,treatment,1,1,0,0
4855,control,0,1,0,0
4855,treatment,1,2,1,20
4856,control,1,1,0,0
4856,treatment,1,2,1,20
4857,control,1,3,0,0
4857,treatment,1,3,0,0
4858,control,1,3,0,0
4858,treatment,1,3,0,0
4859,control,0,1,0,0
4859,treatment,1,1,0,0
4860,control,1,2,1,20
4860,treatment,1,3,0,0
4861,control,0,1,0,0
4861,treatment,1,1,1,20
4862,control,1,1,0,0
4862,treatment,1,2,0,0
4863,control,0,1,0,0
4863,treatment,1,1,1,20
4864,control,1,1,1,20
4865,control,1,3,1,20
4865,treatment,1,3,0,0
4866,control,1,2,0,0
4866,treatment,1,1,1,20
4867,control,1,1,0,0
4867,treatment,1,1,0,0
4868,control,0,3,0,0
4868,treatment,1,2,0,0
4869,control,0,1,0,0
4869,treatment,1,1,1,20
4870,control,0,1,0,0
4870,treatment,1,1,0,0
4871,control,0,1,0,0
4871,treatment,1,1,0,0
4872,control,0,2,0,0
4872,treatment,1,2,1,20
4873,control,1,3,0,0
4873,treatment,1,2,1,20
4874,control,1,2,0,0
4874,treatment,1,1,0,0
4875,control,1,3,0,0
4875,treatment,1,2,0,0
4876,control,1,2,0,0
4876,treatment,1,2,0,0
4877,control,0,1,0,0
4878,control,1,3,0,0
4878,treatment,1,2,1,20
4879,treatment,1,2,0,0
4880,control,0,2,0,0
4880,treatment,1,1,0,0
4881,control,1,1,0,0
4881,treatment,1,1,0,0
4882,treatment,0,1,0,0
4883,control,1,2,1,20
4883,treatment,1,2,0,0
4884,control,0,2,0,0
4884,treatment,1,2,0,0
4885,control,0,1,0,0
4885,treatment,1,2,1,20
4886,control,1,2,0,0
4886,treatment,1,1,1,20
4887,control,0,2,0,0
4887,treatment,1,1,1,20
4888,control,1,2,1,20
4888,treatment,1,3,0,0
4889,control,1,2,0,0
4889,treatment,1,2,0,0
4890,control,1,2,1,20
4890,treatment,1,1,0,0
4891,control,1,2,0,0
4892,control,1,2,0,0
4892,treatment,1,3,1,20
4893,control,0,1,0,0
4893,treatment,1,1,0,0
4894,control,1,1,0,0
4894,treatment,1,1,0,0
4895,control,1,1,0,0
4895,treatment,1,1,0,0
4896,control,0,1,0,0
4896,treatment,1,1,0,0
4897,control,1,1,0,0
4897,treatment,1,2,0,0
4898,control,0,1,0,0
4898,treatment,1,1,0,0
4899,control,0,2,0,0
4899,treatment,1,3,0,0
4900,control,0,1,0,0
4900,treatment,0,1,0,0
4901,treatment,0,1,0,0
4902,control,0,3,0,0
4902,treatment,1,3,0,0
4903,control,0,1,0,0
4903,treatment,0,1,0,0
4904,control,0,2,0,0
4904,treatment,1,2,0,0
4905,control,1,3,0,0
4905,treatment,1,1,0,0
4906,control,1,3,0,0
4906,treatment,1,1,0,0
4907,control,1,3,0,0
4907,treatment,1,1,0,0
4908,control,1,2,0,0
4908,treatment,1,2,1,20
4909,control,0,3,0,0
4909,treatment,1,2,1,20
4910,control,0,3,0,0
4910,treatment,1,3,1,20
4911,control,0,2,0,0
4911,treatment,1,2,1,20
4912,control,1,1,0,0
4912,treatment,0,1,0,0
4913,control,0,1,0,0
4913,treatment,1,1,0,0
4914,control,0,2,0,0
4914,treatment,1,3,1,20
4915,treatment,1,1,0,0
4916,control,0,2,0,0
4916,treatment,1,1,1,20
4917,control,1,3,1,20
4917,treatment,1,2,1,20
4918,control,0,1,0,0
4918,treatment,1,1,0,0
4919,control,1,2,0,0
4919,treatment,1,2,0,0
4920,control,1,3,0,0
4920,treatment,1,3,0,0
4921,control,0,1,0,0
4922,treatment,1,1,0,0
4923,control,1,1,0,0
4923,treatment,1,1,1,20
4924,control,0,3,0,0
4924,treatment,1,2,0,0
4925,control,1,3,0,0
4925,treatment,1,1,0,0
4926,control,1,2,0,0
4926,treatment,1,3,0,0
4927,control,1,1,1,20
4927,treatment,1,3,1,20
4928,control,1,3,0,0
4928,treatment,1,3,0,0
4929,control,0,2,0,0
4929,treatment,1,3,0,0
4930,control,1,1,1,20
4930,treatment,1,2,0,0
4931,control,0,2,0,0
4931,treatment,1,2,0,0
4932,control,1,2,0,0
4932,treatment,1,1,0,0
4933,treatment,1,1,1,20
4934,control,0,3,0,0
4934,treatment,1,2,1,20
4935,control,0,1,0,0
4935,treatment,0,1,0,0
4936,control,1,3,1,20
4936,treatment,1,3,0,0
4937,control,1,1,0,0
4937,treatment,1,2,0,0
4938,control,1,3,1,20
4938,treatment,1,1,1,20
4939,control,0,1,0,0
4939,treatment,0,3,0,0
4940,control,1,3,0,0
4940,treatment,1,3,0,0
4941,control,1,2,0,0
4941,treatment,1,2,0,0
4942,control,0,2,0,0
4943,control,0,2,0,0
4943,treatment,1,2,0,0
4944,control,1,1,0,0
4945,control,0,3,0,0
4945,treatment,1,2,0,0
4946,control,1,1,0,0
4946,treatment,1,2,0,0
4947,control,0,1,0,0
4947,treatment,1,1,0,0
4948,control,0,2,0,0
4948,treatment,1,2,0,0
4949,control,1,1,0,0
4949,treatment,1,1,1,20
4950,control,0,2,0,0
4950,treatment,1,2,0,0
4951,control,1,1,1,20
4951,treatment,1,1,0,0
4952,control,0,2,0,0
4952,treatment,0,2,0,0
4953,control,1,2,0,0
4953,treatment,1,1,0,0
4954,control,0,3,0,0
4954,treatment,1,3,1,20
4955,control,1,1,0,0
4955,treatment,1,1,1,20
4956,control,0,2,0,0
4956,treatment,1,3,0,0
4957,control,1,1,0,0
4958,control,1,2,1,20
4958,treatment,1,2,0,0
4959,control,1,3,0,0
4959,treatment,1,3,0,0
4960,control,1,2,1,20
4960,treatment,1,2,1,20
4961,control,1,1,0,0
4961,treatment,1,2,0,0
4962,control,1,1,0,0
4963,control,1,2,0,0
4963,treatment,1,1,1,20
4964,control,0,3,0,0
4964,treatment,1,2,0,0
4965,control,1,3,0,0
4965,treatment,1,2,0,0
4966,treatment,1,1,1,20
4967,control,0,2,0,0
4967,treatment,1,1,1,20
4968,control,0,3,0,0
4968,treatment,1,3,0,0
4969,control,0,2,0,0
4969,treatment,1,2,1,20
4970,control,1,2,0,0
4970,treatment,1,2,0,0
4971,control,1,1,1,20
4971,treatment,1,1,1,20
4972,control,0,2,0,0
4972,treatment,1,2,0,0
4973,control,0,2,0,0
4973,treatment,0,1,0,0
4974,control,0,1,0,0
4974,treatment,0,1,0,0
4975,control,0,2,0,0
4975,treatment,1,3,0,0
4976,control,0,1,0,0
4976,treatment,1,1,0,0
4977,control,1,3,0,0
4977,treatment,1,3,0,0
4978,control,0,1,0,0
4978,treatment,0,1,0,0
4979,control,1,2,1,20
4979,treatment,1,2,0,0
4980,control,1,2,1,20
4980,treatment,1,2,1,20
4981,control,0,3,0,0
4981,treatment,1,1,1,20
4982,control,0,3,0,0
4982,treatment,1,2,0,0
4983,control,1,1,0,0
4983,treatment,1,1,0,0
4984,control,1,3,0,0
4984,treatment,1,1,0,0
4985,control,1,2,1,20
4985,treatment,1,1,1,20
4986,control,1,1,0,0
4986,treatment,0,1,0,0
4987,control,0,2,0,0
4987,treatment,1,1,0,0
4988,control,1,2,1,20
4988,treatment,1,2,0,0
4989,control,0,1,0,0
4989,treatment,1,1,1,20
4990,treatment,1,1,0,0
4991,control,1,1,0,0
4991,treatment,1,2,0,0
4992,control,0,1,0,0
4992,treatment,1,2,0,0
4993,control,0,2,0,0
4993,treatment,0,2,0,0
4994,control,1,1,0,0
4995,control,0,1,0,0
4995,treatment,1,3,1,20
4996,control,1,2,0,0
4996,treatment,1,2,0,0
4997,control,1,3,0,0
4997,treatment,1,3,0,0
4998,control,0,1,0,0
4998,treatment,0,1,0,0
4999,control,1,1,0,0
4999,treatment,0,1,0,0
5000,control,0,1,0,0
5000,treatment,1,2,0,0
5001,control,0,1,0,0
5001,treatment,1,1,0,0
5002,control,0,1,0,0
5002,treatment,1,1,0,0
5003,control,0,1,0,0
5003,treatment,1,1,1,20
5004,control,0,2,0,0
5004,treatment,1,2,0,0
5005,control,1,1,0,0
5005,treatment,1,1,0,0
5006,control,1,1,1,20
5006,treatment,1,2,1,20
5007,control,0,3,0,0
5007,treatment,0,3,0,0
5008,control,1,2,0,0
5008,treatment,1,1,1,20
5009,control,1,2,0,0
5009,treatment,1,3,0,0
5010,treatment,0,1,0,0
5011,control,0,1,0,0
5011,treatment,1,1,0,0
5012,control,0,1,0,0
5012,treatment,0,1,0,0
5013,control,1,2,1,20
5013,treatment,1,2,1,20
5014,control,0,1,0,0
5014,treatment,1,1,0,0
5015,control,1,3,0,0
5015,treatment,1,2,0,0
5016,control,1,1,0,0
5017,control,1,1,1,20
5017,treatment,1,1,0,0
5018,control,1,1,1,20
5018,treatment,1,1,0,0
5019,control,1,2,0,0
5019,treatment,1,3,0,0
5020,control,1,3,1,20
5020,treatment,1,2,1,20
5021,control,0,1,0,0
5021,treatment,1,2,0,0
5022,control,1,2,0,0
5022,treatment,1,1,0,0
5023,control,0,1,0,0
5023,treatment,1,1,0,0
5024,control,1,1,0,0
5025,control,0,1,0,0
5025,treatment,1,1,0,0
5026,control,1,2,1,20
5026,treatment,1,3,0,0
5027,control,1,2,0,0
5027,treatment,1,2,0,0
5028,treatment,0,1,0,0
5029,control,0,3,0,0
5029,treatment,1,2,0,0
5030,control,0,2,0,0
5030,treatment,1,2,1,20
5031,control,1,1,0,0
5031,treatment,1,1,0,0
5032,control,1,2,0,0
5032,treatment,1,2,0,0
5033,treatment,1,2,0,0
5034,control,1,3,0,0
5034,treatment,1,3,0,0
5035,control,1,1,0,0
5035,treatment,1,3,0,0
5036,control,1,3,0,0
5036,treatment,1,3,0,0
5037,control,0,1,0,0
5037,treatment,1,1,0,0
5038,control,0,2,0,0
5038,treatment,1,3,0,0
5039,control,1,1,1,20
5039,treatment,1,1,0,0
5040,control,0,1,0,0
5040,treatment,1,1,1,20
5041,control,1,3,1,20
5041,treatment,1,2,0,0
5042,control,0,2,0,0
5042,treatment,1,2,0,0
5043,control,1,2,0,0
5043,treatment,1,2,1,20
5044,control,1,1,0,0
5044,treatment,1,2,1,20
5045,control,1,2,0,0
5045,treatment,1,3,0,0
5046,control,1,2,1,20
5046,treatment,1,2,0,0
5047,control,1,3,0,0
5047,treatment,1,2,1,20
5048,control,0,2,0,0
5048,treatment,0,1,0,0
5049,control,1,2,0,0
5049,treatment,1,2,0,0
5050,control,0,2,0,0
5050,treatment,1,2,0,0
5051,control,1,2,1,20
5051,treatment,1,2,0,0
5052,treatment,1,1,0,0
5053,control,0,2,0,0
5053,treatment,1,2,1,20
5054,treatment,1,1,0,0
5055,control,0,1,0,0
5055,treatment,1,3,1,20
5056,control,1,2,0,0
5056,treatment,1,2,0,0
5057,control,0,2,0,0
5057,treatment,1,3,0,0
5058,control,0,1,0,0
5058,treatment,0,1,0,0
5059,control,0,1,0,0
5059,treatment,1,1,0,0
5060,treatment,1,1,1,20
5061,control,0,3,0,0
5061,treatment,1,2,0,0
5062,control,0,2,0,0
5062,treatment,1,3,0,0
5063,control,1,2,0,0
5063,treatment,1,2,0,0
5064,control,0,3,0,0
5064,treatment,1,3,1,20
5065,control,0,2,0,0
5065,treatment,1,3,1,20
5066,control,1,2,0,0
5066,treatment,1,1,1,20
5067,control,0,2,0,0
5067,treatment,1,1,1,20
5068,control,1,2,0,0
5068,treatment,1,1,0,0
5069,control,0,1,0,0
5069,treatment,1,2,0,0
5070,control,1,1,0,0
5070,treatment,1,1,1,20
5071,control,1,3,0,0
5071,treatment,1,2,0,0
5072,control,0,2,0,0
5072,treatment,1,3,0,0
5073,control,0,1,0,0
5073,treatment,1,3,0,0
5074,control,0,2,0,0
5074,treatment,1,1,0,0
5075,control,1,1,0,0
5075,treatment,1,1,1,20
5076,control,1,1,0,0
5076,treatment,1,1,0,0
5077,control,0,2,0,0
5077,treatment,1,1,0,0
5078,control,0,2,0,0
5078,treatment,1,1,1,20
5079,control,0,2,0,0
5079,treatment,1,2,0,0
5080,control,0,1,0,0
5081,control,1,1,0,0
5081,treatment,1,3,1,20
5082,control,0,2,0,0
5082,treatment,1,3,0,0
5083,control,0,2,0,0
5083,treatment,1,3,1,20
5084,control,0,2,0,0
5084,treatment,0,3,0,0
5085,control,1,3,0,0
5085,treatment,1,3,0,0
5086,control,0,1,0,0
5086,treatment,1,1,0,0
5087,control,1,1,0,0
5087,treatment,1,2,1,20
5088,control,0,2,0,0
5088,treatment,1,1,0,0
5089,control,0,1,0,0
5089,treatment,1,1,1,20
5090,treatment,1,2,1,20
5091,control,0,1,0,0
5091,treatment,1,1,0,0
5092,control,0,1,0,0
5092,treatment,1,1,0,0
5093,control,0,1,0,0
5093,treatment,1,1,0,0
5094,control,1,3,0,0
5094,treatment,1,1,0,0
5095,control,1,3,1,20
5095,treatment,1,3,0,0
5096,control,0,1,0,0
5096,treatment,1,1,0,0
5097,control,0,1,0,0
5097,treatment,1,2,0,0
5098,control,1,3,1,20
5098,treatment,1,2,0,0
5099,control,1,1,0,0
5099,treatment,1,2,1,20
5100,control,0,2,0,0
5100,treatment,1,3,0,0
5101,control,0,3,0,0
5101,treatment,1,2,0,0
5102,control,0,2,0,0
5102,treatment,1,1,0,0
5103,treatment,0,1,0,0
5104,control,1,1,0,0
5104,treatment,1,2,0,0
5105,control,1,2,0,0
5105,treatment,1,1,1,20
5106,treatment,1,1,0,0
5107,control,0,1,0,0
5107,treatment,1,1,0,0
5108,control,0,1,0,0
5108,treatment,1,2,0,0
5109,control,1,2,1,20
5109,treatment,1,2,0,0
5110,control,0,2,0,0
5111,control,0,1,0,0
5111,treatment,1,2,1,20
5112,control,0,1,0,0
5113,treatment,1,1,0,0
5114,control,0,2,0,0
5114,treatment,1,1,0,0
5115,control,0,1,0,0
5115,treatment,1,2,1,20
5116,control,1,2,1,20
5116,treatment,1,3,1,20
5117,control,1,1,0,0
5117,treatment,1,1,0,0
5118,control,1,1,1,20
5118,treatment,1,1,1,20
5119,control,0,3,0,0
5119,treatment,1,2,1,20
5120,control,1,2,1,20
5120,treatment,1,1,0,0
5121,control,1,1,0,0
5121,treatment,0,1,0,0
5122,control,1,1,0,0
5122,treatment,1,1,1,20
5123,control,1,1,0,0
5124,control,1,1,1,20
5124,treatment,1,3,0,0
5125,control,0,2,0,0
5125,treatment,1,2,0,0
5126,control,0,1,0,0
5127,control,1,1,1,20
5127,treatment,1,1,1,20
5128,control,0,3,0,0
5128,treatment,1,2,0,0
5129,control,1,1,0,0
5129,treatment,1,1,1,20
5130,control,1,3,0,0
5130,treatment,1,2,0,0
5131,control,0,2,0,0
5131,treatment,1,3,0,0
5132,control,1,1,1,20
5132,treatment,1,1,0,0
5133,control,1,1,1,20
5133,treatment,1,1,1,20
5134,control,0,1,0,0
5134,treatment,1,2,0,0
5135,control,1,1,0,0
5135,treatment,0,1,0,0
5136,control,0,2,0,0
5136,treatment,0,1,0,0
5137,control,0,1,0,0
5138,control,0,1,0,0
5138,treatment,1,2,0,0
5139,control,1,2,0,0
5139,treatment,1,3,1,20
5140,control,1,2,0,0
5140,treatment,1,2,0,0
5141,control,1,2,0,0
5141,treatment,1,2,0,0
5142,treatment,1,2,1,20
5143,control,1,3,1,20
5143,treatment,1,3,1,20
5144,control,0,1,0,0
5144,treatment,1,1,1,20
5145,control,1,1,1,20
5145,treatment,0,1,0,0
5146,control,1,2,0,0
5146,treatment,1,2,0,0
5147,treatment,1,1,1,20
5148,control,1,2,0,0
5148,treatment,1,2,0,0
5149,control,1,2,0,0
5149,treatment,1,3,1,20
5150,control,0,1,0,0
5150,treatment,1,1,0,0
5151,control,0,1,0,0
5151,treatment,1,2,0,0
5152,control,1,2,1,20
5152,treatment,1,1,0,0
5153,control,1,2,0,0
5153,treatment,1,1,0,0
5154,control,0,2,0,0
5154,treatment,1,2,0,0
5155,control,1,1,0,0
5155,treatment,1,1,1,20
5156,control,1,1,1,20
5156,treatment,1,1,0,0
5157,control,0,2,0,0
5157,treatment,1,2,0,0
5158,control,1,3,0,0
5158,treatment,1,2,0,0
5159,control,0,2,0,0
5159,treatment,0,1,0,0
5160,control,0,1,0,0
5160,treatment,0,1,0,0
5161,control,0,2,0,0
5161,treatment,1,1,0,0
5162,control,0,1,0,0
5162,treatment,0,1,0,0
5163,control,0,2,0,0
5163,treatment,1,3,0,0
5164,control,0,1,0,0
5165,control,0,2,0,0
5165,treatment,1,3,0,0
5166,control,0,1,0,0
5166,treatment,0,1,0,0
5167,control,0,2,0,0
5167,treatment,1,1,0,0
5168,control,0,1,0,0
5168,treatment,0,1,0,0
5169,control,1,3,0,0
5169,treatment,1,2,1,20
5170,control,1,2,0,0
5170,treatment,1,1,1,20
5171,control,1,1,0,0
5171,treatment,1,2,1,20
5172,control,1,2,0,0
5172,treatment,1,2,0,0
5173,control,1,1,0,0
5173,treatment,1,2,0,0
5174,control,1,3,0,0
5174,treatment,1,3,0,0
5175,control,1,2,0,0
5175,treatment,1,2,0,0
5176,control,1,2,0,0
5176,treatment,1,3,0,0
5177,control,0,1,0,0
5177,treatment,0,1,0,0
5178,control,1,3,0,0
5178,treatment,1,3,0,0
5179,control,1,2,0,0
5179,treatment,1,3,0,0
5180,control,1,2,0,0
5180,treatment,1,1,1,20
5181,control,0,1,0,0
5181,treatment,1,1,0,0
5182,control,1,1,0,0
5182,treatment,0,1,0,0
5183,control,1,1,1,20
5183,treatment,1,1,0,0
5184,control,1,2,0,0
5184,treatment,0,1,0,0
5185,control,0,2,0,0
5185,treatment,1,3,1,20
5186,control,1,2,0,0
5186,treatment,1,2,0,0
5187,treatment,0,1,0,0
5188,control,1,3,1,20
5188,treatment,1,2,1,20
5189,control,1,2,0,0
5189,treatment,1,2,0,0
5190,control,1,2,0,0
5190,treatment,1,2,0,0
5191,control,1,1,1,20
5191,treatment,1,1,1,20
5192,control,1,3,1,20
5192,treatment,1,2,0,0
5193,control,1,3,1,20
